recipient_uei,full_addy,recipient_CAGE,recipient_name,recipient_dba,phys_address_01,phys_address_02,phys_address_city,phys_address_st,phys_address_ZIP,phys_address_ZIP2,phys_address_country,phys_address_cong_dist,recipient_url,entity_structure,bus_type_counter,bus_type_string,primary_NAICS,NAICS_code_counter,NAICS_code_string,PSC_code_counter,PSC_code_string,street,city,state,postalcode,lat,long,full_address
C11FW9DW7PG8,735 RANDOLPH ST SUITE 501 DETROIT MI 48226,96K59,GREAT LAKES WATER AUTHORITY,NA,735 RANDOLPH ST,SUITE 501,DETROIT,MI,48226,2830,USA,13,NA,2A,0002,12~C6,NA,0000,NA,0000,NA,735 RANDOLPH ST,DETROIT,MI,48226,42.33271705,-83.04421529611743,NA
C126SATLEZE9,6161 W CHARLESTON BLVD NA LAS VEGAS NV 89146,54LQ5,NEVADA DEPARTMENT OF HEALTH AND HUMAN SERVICES,SOUTHERN NEVADA ADULT MENTAL HEALTH SERVICES,6161 W CHARLESTON BLVD,NA,LAS VEGAS,NV,89146,1126,USA,04,NA,2A,0002,2F~80,NA,0000,NA,0000,NA,6161 W CHARLESTON BLVD,LAS VEGAS,NV,89146,36.1574557,-115.2266091,NA
C12XMLDYDN94,1932 US HIGHWAY 87 E NA BILLINGS MT 59101,5J0V9,LOCKWOOD SCHOOL DISTRICT 26,NA,1932 US HIGHWAY 87 E,NA,BILLINGS,MT,59101,6651,USA,02,www.lockwoodschool.org,2A,0002,12~H6,923110,0001,923110N,0000,NA,1932 US HIGHWAY 87 E,BILLINGS,MT,59101,45.7970128,-108.4364071,NA
C13DF16LC3H4,1000 SPRING GARDEN ST NA GREENSBORO NC 27412,09GC3,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,NA,1000 SPRING GARDEN ST,NA,GREENSBORO,NC,27412,5068,USA,06,http://www.uncg.edu/,2A,0003,2F~M8~OH,611310,0002,541611N~611310N,0004,AF11~AF12~R405~R410,1000 SPRING GARDEN ST,GREENSBORO,NC,27412,36.0660225,-79.8096335,NA
C15FN5MHT496,760 MILITARY HWY NA MINNEAPOLIS MN 55450,1TK88,"AIR FORCE, UNITED STATES DEPARTMENT OF THE",MSPAF LODGING,760 MILITARY HWY,NA,MINNEAPOLIS,MN,55450,2100,USA,05,NA,2A,0002,2R~NG,713990,0001,713990N,0000,NA,760 MILITARY HWY,MINNEAPOLIS,MN,55450,44.896240285714285,-93.2135118979592,NA
C16JPHACBSZ4,2000 BOBBY FOSTER RD SE NA ALBUQUERQUE NM 87105,5R1N3,THE INTERNATIONAL SCHOOL AT MEFA DEL SOL,NA,2000 BOBBY FOSTER RD SE,NA,ALBUQUERQUE,NM,87105,NA,USA,00,www.tisnm.org,2A,0002,12~H6,NA,0000,NA,0000,NA,2000 BOBBY FOSTER RD SE,ALBUQUERQUE,NM,87105,34.9894199,-106.6236592071123,NA
C16RUE5AZTK4,8040 S 6TH ST NA OAK CREEK WI 53154,5XGA7,"OAK CREEK, CITY OF",NA,8040 S 6TH ST,NA,OAK CREEK,WI,53154,2996,USA,01,www.oakcreekwi.gov,2A,0005,12~C6~C8~KM~UD,NA,0000,NA,0000,NA,8040 S 6TH ST,OAK CREEK,WI,53154,42.8984372,-87.91777730588402,NA
C172TQML5G99,195 N 1950 W NA SALT LAKE CITY UT 84116,3LRJ4,UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,NA,195 N 1950 W,NA,SALT LAKE CITY,UT,84116,3100,USA,02,dhhs.utah.gov,2A,0001,2F,921190,0002,921190N~923120N,0000,NA,195 N 1950 W,SALT LAKE CITY,UT,84116,40.77441445,-111.94825627943185,NA
C18DN9HZPTS3,516 3RD AVE NA SEATTLE WA 98104,5MWW7,KING COUNTY,NA,516 3RD AVE,NA,SEATTLE,WA,98104,2385,USA,07,NA,2A,0002,12~C7,NA,0000,NA,0000,NA,516 3RD AVE,SEATTLE,WA,98104,47.6026438,-122.33052689708438,NA
C18EXN8UCBF8,1300 PERDIDO ST NA NEW ORLEANS LA 70112,34RP9,CITY OF NEW ORLEANS NORD,NA,1300 PERDIDO ST,NA,NEW ORLEANS,LA,70112,2128,USA,02,NA,2A,0003,12~C6~C8,926110,0002,921190N~926110N,0000,NA,1300 PERDIDO ST,NEW ORLEANS,LA,70112,29.95213155,-90.07729185460067,NA
C1CBFUQ7ZFF6,777 N MERIDIAN ST SUITE 300 INDIANAPOLIS IN 46204,666Q0,INDIANA STATE APPROVING AGENCY,NA,777 N MERIDIAN ST,SUITE 300,INDIANAPOLIS,IN,46204,1421,USA,07,NA,2A,0001,2F,NA,0000,NA,0000,NA,777 N MERIDIAN ST,INDIANAPOLIS,IN,46204,39.77765136734693,-86.15757463265307,NA
C1FKM7WYGH98,913 RICHFIELD RD NA PLACENTIA CA 92870,4X0Q5,YORBA LINDA WATER DISTRICT,NA,913 RICHFIELD RD,NA,PLACENTIA,CA,92870,6733,USA,45,http://www.ylwd.com,2A,0002,12~MG,NA,0000,NA,0000,NA,913 RICHFIELD RD,PLACENTIA,CA,92870,33.86502088459602,-117.826034653621,NA
C1HKXLMX6M65,1511 COLORADO ST NA AUSTIN TX 78701,443W9,HISTORICAL COMMISSION TEXAS,NA,1511 COLORADO ST,NA,AUSTIN,TX,78701,1664,USA,37,www.thc.texas.gov,2A,0001,2F,NA,0000,NA,0000,NA,1511 COLORADO ST,AUSTIN,TX,78701,30.2780117,-97.7404023,NA
C1LXK4M5F2B7,3919 N ROCKWELL AVE NA BETHANY OK 73008,7A0C4,BETHANY FIRE DEPARTMENT,NA,3919 N ROCKWELL AVE,NA,BETHANY,OK,73008,3356,USA,05,NA,2A,0002,12~C8,NA,0000,NA,0000,NA,3919 N ROCKWELL AVE,BETHANY,OK,73008,35.510794209302325,-97.636727,NA
C1N9J5E3PR89,1500 BROADWAY FL 6 LUBBOCK TX 79401,5A0F5,"LUBBOCK ECONOMIC DEVELOPMENT ALLIANCE, INC.",LEDA,1500 BROADWAY,FL 6,LUBBOCK,TX,79401,3117,USA,19,NA,2A,0003,12~C8~H2,NA,0000,NA,0000,NA,1500 BROADWAY,LUBBOCK,TX,79401,33.5849052,-101.8517696,NA
C1PSQ1K3MKX5,1770 ASHLAND AVE NA BALTIMORE MD 21205,3E1K4,MARYLAND DEPARTMENT OF HEALTH,MARYLAND DEPARTMENT OF HEALTH LABORATORIES ADMINISTRATION,1770 ASHLAND AVE,NA,BALTIMORE,MD,21205,1529,USA,07,https://health.maryland.gov/laboratories/Pages/-About-The-Labs.aspx,2A,0001,2F,923120,0001,923120N,0000,NA,1770 ASHLAND AVE,BALTIMORE,MD,21205,39.30077,-76.5931096,NA
C1X1LF1EY5M9,333 MARCUS AVE NA NEW HYDE PARK NY 11040,6YUF1,GARDEN CITY PARK WATER & FIRE DISTRICT,NA,333 MARCUS AVE,NA,NEW HYDE PARK,NY,11040,3400,USA,03,NA,2A,0004,12~C6~C7~ZR,NA,0000,NA,0000,NA,333 MARCUS AVE,NEW HYDE PARK,NY,11040,40.74983585,-73.67242374405461,NA
