Count,GEOID,SOLE Place ID,SOLE State Place ID,State FIPS,SOLE Country Place ID,Place FIPS,GNIS feature_id,City name,UEI,State Code,US Census Place Name,State,Census Region,Census Division,SoLE region,,,,Population 2021,Population 2021 Bin,2020 Census GEOIDs,Population Decennial Census 2020,us_bls_laus,us_bls_oews,us_bls_oews_old,us_cdc_usaleep,us_cdc_nchs,us_census_sahie,us_education_edfacts,us_nces_piaac,us_fbi_ucr,IMLS,OECD,us_prosperitynow,UN Habitat,lat_osm,long_osm,us_epa_aqs
73,0203000,c-us-ak-anc,s-us-ak,02,n-us,03000,2419025,Anchorage,G6XSV1B8MVB9,AK,Anchorage municipality,Alaska,West,Pacific,Pacific West,"Anchorage, Alaska",c-us-ak-anc,288121,#N/A,"274,001 - 320,000",0203000,291247,LAUCT020300000000003,11260,380,,,,,,AK0010100,"ANCHORAGE, AK",,"Anchorage, AK",,61.2163129,-149.89485,"Anchorage, Alaska, USA"
106,0137000,c-us-al-hsv,s-us-al,01,n-us,37000,2404746,Huntsville,ZBCLKNT6JWT4 ,AL,Huntsville city,Alabama,South,East South Central,South Central,,,#N/A,215482,,0137000,215006,LAUCT013700000000003,,,,,,,,AL0470100,"HUNTSVILLE, AL",,"Huntsville, AL",,34.69796,-86.64379,
108,0541000,c-us-ar-lit,s-us-ar,05,n-us,41000,2404939,Little Rock,JXG6UN5FMB88,AR,Little Rock city,Arkansas,South,West South Central,South Central,,,#N/A,201984,,0541000,202591,LAUCT054100000000003,,,,,,,,AR0600200,"LITTLE ROCK, AR",,"Little Rock, AR",,34.7256,-92.3577,
5,0455000,c-us-az-phx,s-us-az,04,n-us,55000,2411414,Phoenix,CDAFCGT4Y1F5,AZ,Phoenix city,Arizona,West,Mountain,Mountain West,"Phoenix, Arizona",c-us-az-phx,1624539,#N/A,"680,001 - 9,000,000",0455000,1608139,LAUCT045500000000003,,,,,,,,AZ0072300,"PHOENIX, AZ",,"Phoenix, AZ",,33.4484367,-112.07414,"Phoenix, Arizona, USA"
33,0477000,c-us-az-tuz,s-us-az,04,n-us,77000,2412104,Tucson,X487LACQEQN6,AZ,Tucson city,Arizona,West,Mountain,Mountain West,"Tucson, Arizona",c-us-az-tuz,#N/A,#N/A,"480,001 - 680,000",0477000,542629,LAUCT047700000000003,46060,8520,,,,,,AZ0100300,"TUCSON, AZ",,"Tucson, AZ",,32.2228765,-110.97485,"Tucson, Arizona, USA"
37,0446000,c-us-az-msc,s-us-az,04,n-us,46000,2411087,Mesa,E2Y8LRS18AU3,AZ,Mesa city,Arizona,West,Mountain,Mountain West,"Mesa, Arizona",c-us-az-msc,#N/A,#N/A,"480,001 - 680,000",0446000,504258,LAUCT044600000000003,,,,,,,,AZ0071700,"MESA, AZ",,"Mesa, AZ",,33.4151005,-111.83146,"Mesa, Arizona, USA"
78,0412000,c-us-az-chd,s-us-az,04,n-us,12000,2409433,Chandler,LCLUQVAP1WU4,AZ,Chandler city,Arizona,West,Mountain,Mountain West,"Chandler, Arizona",c-us-az-chd,#N/A,#N/A,"274,001 - 320,000",0412000,275987,LAUCT041200000000003,,,,,,,,AZ0070500,"CHANDLER, AZ",,"Chandler, AZ",,33.3062031,-111.84119,"Chandler, Arizona, USA"
82,0427400,c-us-az-gbe,s-us-az,04,n-us,27400,2412682,Gilbert,JYKJEFGH9QM7,AZ,Gilbert town,Arizona,West,Mountain,Mountain West,"Gilbert, Arizona",c-us-az-gbe,#N/A,#N/A,"0 - 274,000",0427400,267918,LAUCT042740000000003,,,,,,,,AZ0071100,"GILBERT, AZ",,"Gilbert, AZ",,33.3527632,-111.78904,"Gilbert, Arizona, USA"
92,0427820,c-us-az-gda,s-us-az,04,n-us,27820,2410596,Glendale,CRE4N8H1X6J5,AZ,Glendale city,Arizona,West,Mountain,Mountain West,"Glendale, Arizona",c-us-az-gda,249627,#N/A,"0 - 274,000",0427820,248325,LAUCT042782000000003,,,,,,,,AZ0071300,"GLENDALE, AZ",,"Glendale, AZ",,33.5386858,-112.18599,"Glendale, Arizona, USA"
94,0465000,c-us-az-stz,s-us-az,04,n-us,65000,2411845,Scottsdale,PMRUAFJ48JE8,AZ,Scottsdale city,Arizona,West,Mountain,Mountain West,"Scottsdale, Arizona",c-us-az-stz,#N/A,#N/A,"0 - 274,000",0465000,241361,LAUCT046500000000003,,,,,,,,AZ0072500,"SCOTTSDALE, AZ",,"Scottsdale, AZ",,33.4942189,-111.92602,"Scottsdale, Arizona, USA"
